DNA
27
36
18
9
44
39
59
57
22
38
73
45
32
61
52
29
25
34
49
42
NaN
47
30
27
75
47
83
51
81
34
43
80
40
41
42
43
53
55
47
53
37
31
59
35
46
8
48
38
37
37
